office	post_id	state	date	action	url	cls
Darien	3566948820070724690	LIVE	2026-05-05	CALL		no-link
Darien	7474893190939659649	LIVE	2026-05-01	CALL		no-link
Darien	1135067301322532166	LIVE	2026-04-28	CALL		no-link
Darien	1629247794781371135	LIVE	2026-04-28	CALL		no-link
Darien	3398191619881188944	LIVE	2026-04-24	CALL		no-link
Darien	2601011834669070384	LIVE	2026-04-21	CALL		no-link
Darien	1917785833125344050	LIVE	2026-04-17	CALL		no-link
Darien	174550104100472625	LIVE	2026-04-14	CALL		no-link
Columbia	1739207559975103779	PROCESSING	2026-07-20	LEARN_MORE	https://rodenlaw.com/es/blog/cayce-12th-street-uninsured-motorist-lawyer/	STALE-generic
Columbia	437258484358265041	PROCESSING	2026-07-17	LEARN_MORE	https://rodenlaw.com/blog/cayce-12th-street-uninsured-motorist-lawyer/	ok
Columbia	5464233663105510809	PROCESSING	2026-07-14	LEARN_MORE	https://rodenlaw.com/es/blog/st-andrews-road-widewater-18-wheeler-accident-lawyer-richland-county/	STALE-generic
Columbia	5247010417818558749	PROCESSING	2026-07-11	LEARN_MORE	https://rodenlaw.com/es/blog/i-20-bush-river-road-motorcycle-accident-lawyer-columbia/	STALE-generic
Columbia	7041677248609982900	PROCESSING	2026-07-09	LEARN_MORE	https://rodenlaw.com/blog/i-20-bush-river-road-motorcycle-accident-lawyer-columbia/	STALE-generic
Columbia	3582339872700150295	PROCESSING	2026-07-07	LEARN_MORE	https://rodenlaw.com/es/locations/south-carolina/columbia/?utm_source=gbp&utm_medium=organic&utm_campaign=es_launch_columbia	ok
Columbia	7107153887239134078	PROCESSING	2026-07-06	LEARN_MORE	https://rodenlaw.com/blog/st-andrews-road-widewater-18-wheeler-accident-lawyer-richland-county/	ok
Columbia	6866497722018659040	PROCESSING	2026-06-25	LEARN_MORE	https://rodenlaw.com/blog/edmund-highway-lexington-county-car-accident-lawyer/	STALE-generic
Columbia	5079926589194833633	PROCESSING	2026-06-16	LEARN_MORE	https://rodenlaw.com/blog/five-points-columbia-uber-accident-lawyer/	STALE-generic
Columbia	8805659514619905442	PROCESSING	2026-06-08	LEARN_MORE	https://rodenlaw.com/blog/sunset-boulevard-west-columbia-drunk-driver-accident-lawyer/	STALE-generic
Columbia	2916035505567671844	PROCESSING	2026-06-05	LEARN_MORE	https://rodenlaw.com/blog/broad-river-road-pedestrian-accident-lawyer-harbison-columbia/	STALE-generic
