year,state,corridor,county,fatalities,truck_involved,truck_tractor_involved,land_use,roadway,latitude,longitude
2022,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26,32.90001389,-80.021772220
2022,SC,I-95,FLORENCE (41),1,True,True,Urban,I-95,34.22893889,-79.799969440
2022,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26,32.98825278,-80.083450000
2022,SC,I-95,ORANGEBURG (75),1,False,False,Rural,I-95,33.45441667,-80.479308330
2022,SC,I-26,BERKELEY (15),1,False,False,Rural,I-26,33.12810833,-80.291152780
2022,SC,I-95,COLLETON (29),3,True,False,Rural,I-95,32.86684444,-80.724022220
2022,SC,I-26,CHARLESTON (19),1,True,True,Urban,I-26,32.98456389,-80.079500000
2023,GA,I-95,CAMDEN (39),1,False,False,Urban,I-95,30.79400000,-81.659897220
2023,GA,I-95,LIBERTY (179),1,True,True,Rural,I-95,31.67929722,-81.391616670
2023,GA,I-95,CHATHAM (51),1,False,False,Rural,I-95,32.02583889,-81.270297220
2023,GA,I-95,MCINTOSH (191),1,True,True,Rural,I-95,31.58391111,-81.429500000
2023,GA,I-95,CHATHAM (51),1,False,False,Urban,I-95,32.05336667,-81.256438890
2023,GA,I-95,CHATHAM (51),1,False,False,Urban,I-95,32.00492222,-81.283002780
2023,GA,I-95,GLYNN (127),1,False,False,Urban,I-95,31.23599167,-81.508372220
2023,GA,I-95,MCINTOSH (191),1,True,True,Rural,I-95,31.59967500,-81.422050000
2023,GA,I-95,LIBERTY (179),1,False,False,Rural,I-95,31.81938056,-81.360280560
2023,GA,I-95,BRYAN (29),1,False,False,Urban,I-95,31.96325556,-81.325547220
2023,GA,I-95,MCINTOSH (191),1,True,True,Rural,I-95,31.53670000,-81.444694440
2023,GA,I-95,GLYNN (127),1,False,False,Urban,I-95,31.31607222,-81.476888890
2023,GA,I-95,CAMDEN (39),1,True,True,Rural,I-95,31.06753611,-81.628513890
2023,GA,I-95,LIBERTY (179),1,False,False,Rural,I-95,31.77751111,-81.378708330
2023,GA,I-95,CAMDEN (39),1,False,False,Rural,I-95,30.99720278,-81.664008330
2023,GA,I-95,CHATHAM (51),1,False,False,Urban,I-95,32.09508611,-81.236630560
2023,GA,I-95,CHATHAM (51),1,False,False,Urban,I-95,32.18415556,-81.200430560
2023,SC,I-95,CLARENDON (27),1,False,False,Rural,I-95,33.74006944,-80.207961110
2023,SC,I-26,LAURENS (59),1,False,False,Rural,I-26,34.44495833,-81.771052780
2023,SC,I-95,ORANGEBURG (75),1,False,False,Rural,I-95,33.37434167,-80.521847220
2023,SC,I-95,CLARENDON (27),1,False,False,Rural,I-95,33.87763056,-80.102336110
2023,SC,I-26,BERKELEY (15),2,False,False,Rural,I-26,33.06423056,-80.180769440
2023,SC,I-26,BERKELEY (15),1,False,False,Urban,I-26,32.99846111,-80.094119440
2023,SC,I-95,ORANGEBURG (75),1,False,False,Rural,I-95,33.41391944,-80.497211110
